nodo,lat,lon
Nueva Nacaome,13.515795556345427,-87.55657767165417
Agua Fría,13.512235715745511,-87.55015067125798
El Cajón,15.037027004949604,-87.74710631578131
Cerro de Hula,13.932198369160238,-87.23235582384844
Elcatex,15.6098970617162,-87.96125083580222
Agua Caliente,13.405329774197144,-87.32658622063101
Agua Prieta,15.597227171136343,-87.93707544597996
Caracol,15.162943400016847,-87.94724947237253
Villanueva,15.338194941317733,-87.98755005251162
Sulzer,15.853680131170703,-87.95529546327629
Alsthom,15.85459306179422,-87.95630860167755
Santa Fe 138kV,14.096517763286494,-87.23308848854094
Santa Fe 69kV,14.096136614094238,-87.23275197903662
Río Lindo,15.039804870611793,-87.98332643994544
Masca,15.824892167097769,-87.9073984379221
La Puerta,15.474111193687875,-88.03638677166957
Comayagua,14.44659674262704,-87.63628884621865
Choloma,15.600249285326703,-87.94580096131524
Progreso 138kV,15.398194120297953,-87.79578631015288
Pavana 230kV,13.4055121572642,-87.3193267113307
Cañaveral,14.9815423372339,-88.02233434550033
Río Nance,15.671165164809054,-87.94438729309691
Prados 230kV,13.147221672428,-87.1318436005953
San Buenaventura,15.029080562688712,-87.97380828919287
San Pedro Sula Sur,15.41305560134953,-87.98999494211967
Guate-Frontera,,
La Entrada,15.0117995028084,-88.7616455606351
El Retorno,15.46976250602289,-87.96755979580868
Toncontín 230kV,14.028419595879498,-87.23549096898563
Suyapa 13.8kV,14.0913267630628,-87.159375679974
Toncontín 138kV,14.028217479578691,-87.23565173735285
Suyapa 69kV,14.091322022812104,-87.1600606649302
Pueblo Nuevo,14.099836861853449,-87.18765270028982
Santa Marta,15.420995184855828,-87.9130108248989
Siguatepeque,14.605957775277357,-87.82236952722296
Progreso 230kV,15.397949749803985,-87.79586420957338
Piedras Azules,14.515242363626871,-87.65216837226573
Miraflores,14.069354022471254,-87.20161989152433
Laínez,14.096769799650007,-87.20139419099091
La Leona,14.110987295079537,-87.20307192401596
Circunvalación,15.503914396217757,-88.00339532811651
Bellavista,15.505315543137067,-88.04934319310583
Bijao,15.704297260846856,-87.92721759936593
Bermejo 138kV,15.534064841837782,-88.01327712507592
Bermejo 69kV,15.534089601261169,-88.01280558896543
Suyapa 230kV,14.09266861451858,-87.15868385771375
La Cañada,14.045644380285243,-87.19450202462468
Suyapa 138kV,14.091848481587705,-87.15971266578985
La Ceiba,15.766383006599455,-86.80851929869353
Tela,15.75683660962358,-87.48790456408724
Guaimas,15.520466226580695,-87.66098140081333
Lufussa II,13.404267382689296,-87.32041925776724
Elcosa,15.855949575890412,-87.95498948329934
Lufussa III,13.404449331105768,-87.32684710049033
Merendón,15.624562235651696,-87.97894598407821
La Vegona,15.083664072055717,-87.73726181529501
Amarateca 230kV,14.222046179716898,-87.37104555771941
Santa Lucía,13.284837233993906,-87.20189826664048
San Buenaventura2,,
Las Flores,14.70471560951294,-88.62667142556302
Bonito Oriental,15.76866677627929,-85.75121647999414
Coyoles Central,15.458453793939285,-86.6631583546461
Cañaveral 69kV,14.981541552025073,-88.02238799018762
Danlí,14.029109261022803,-86.58265761110269
Guaimaca,14.552349915552883,-86.83384404200632
Isletas,15.609966400195818,-86.1901545583076
Juticalpa,14.635925233691598,-86.21421829008246
La Lima,15.435607865664387,-87.92399646334239
Morazán,15.33034668122937,-87.59976015237498
El Níspero,14.779185959963842,-88.34891387883286
Progreso 69kV,15.397591037860918,-87.79587932707732
Reguleto,15.565180049515131,-86.3013712826287
San Isidro,15.76761360826238,-86.7670498855804
Santa Rosa,14.780864999423615,-88.76187217717082
El Zamorano,14.011950171251712,-87.02431607147389
Cuyamapa,15.252426305122624,-87.50193540708389
Naco,15.406876835142887,-88.16616011574946
Becosa,15.704300912452087,-87.92720789800916
Erandique,14.26597021650865,-88.4543426328607
Amarateca 138kV,14.222159661266565,-87.37128880923453
Amarateca 13.8kV,14.222158592534917,-87.36973686336457
La Victoria,15.573871281393245,-87.96246389812983
Shol,,
Catacamas,14.827500789762427,-85.91975249861639
Chichicaste,14.09755508482601,-86.31398028217801
La Vegona 230kV,15.083567383632014,-87.73722246378864
El Bijagual,13.421125627429339,-86.92678099027844
Caracol Knits,15.162892231062614,-87.947138832429
Yoro,15.138915736561197,-87.13580009137132
Cahsa,15.435688116464958,-87.92402042551501
Pavana 34.5kV,13.405860535485903,-87.32030407287628
Santa Lucía 34.5kV,13.285161114969426,-87.20226682684121
Prados 34.5kV,13.147351276515522,-87.13305178586629
Santa Lucia Terciario,13.28434161432683,-87.20158525536608
SPS_230,15.413060957800248,-87.988662489577
Choloma 13.8kV,15.600446583955717,-87.94552061641019
La Ensenada,15.78452460742794,-86.65333298081337
Patuca III 230kV,14.444060737433995,-85.96505384590506
Juticalpa II 230kV,14.635532358737972,-86.21342155762795
Juticalpa II 69kV,14.635695017344688,-86.21422417372568
Ojo de Agua,14.061658623298484,-86.86697248195317
El Porvenir,14.243395623754264,-86.99269656454383
El Estadio,15.475422650789287,-88.01063292369132
Arenal,15.375540689090213,-86.8295656007396
